FAM111B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LOC283177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC728613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WARS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRB7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLEC11A	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539	131.75538196539
BLVRA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGFBP5	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601	2244.41919738601
AHNAK	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571	2232.32730961571
PXDN	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783	384.694806600783
GALNT10	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902	187.13130689902
LYPLA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COL5A1	1518.75917160736	2041.57201568073	1729.40702722555	1736.18313598832	2306.43893110778	2092.44091525392	1633.62425371966	1173.96083881258	2177.90861785395	1592.30534011371	1818.96740288018	2000.19335978432	2625.03532365299	1849.06220013276	2237.53488191655	1839.09845458902	1860.0119455225	2140.56536237069	1229.62028227657	2198.46125771106	1194.34841674675	1806.85538616331	1633.68399601012	1398.9673664927	2253.05516384892	1325.39999583984	1330.28445086467	1375.15430202737	1175.67644558781	1344.28941198049	1724.31452677211	1732.67734270008	1998.2255919352	1446.15143973279	1441.17418046215	1783.04232169798	1845.16714417831	1184.99333246112	1339.58488890899	1222.48605536115	1684.55289558331	1989.7368781538	2068.87948460509	1411.07938320957	1175.95017335954	1628.1728178804	2024.43410408611	1921.45975521061	1238.76613246364	2036.06083755101	1590.33757226459	1637.50830194717	2030.47977974173	1616.5460844155	1747.4729085796	1321.51900755494
